condition,n_total,n_success,n_failed,mean,median,sd,min,max,p5,p25,p75,p95
poll-only,10,10,0,8.2672,8.2234,0.5381,7.4393,9.0212,7.6107,7.8482,8.7329,8.9679
watch-enabled,10,10,0,0.7346,0.7542,0.0552,0.6477,0.8026,0.6501,0.6943,0.77,0.7956
