poll_interval,n_total,n_success,n_failed,mean,median,sd,min,max,p5,p25,p75,p95
0.5s,8,8,0,1.0185,1.0186,0.0659,0.9097,1.1022,0.9297,0.9814,1.0711,1.0932
10s,8,8,0,8.4403,8.4662,0.185,8.1525,8.7554,8.1947,8.3298,8.518,8.685
1s,8,8,0,1.3158,1.3016,0.3214,0.9979,1.9291,1.003,1.0178,1.4592,1.7886
2s,8,8,0,1.8678,1.8906,0.3517,1.267,2.2573,1.4008,1.6643,2.1568,2.2244
5s,8,8,0,3.5668,3.6228,0.2622,3.2163,3.9604,3.228,3.3493,3.7219,3.8957
