operation,block_id,excluded,exclusion_reason,c0_usec_per_op,c1_usec_per_op,c2_usec_per_op,c3_usec_per_op,delta_hook_usec,delta_map_usec,delta_enforcement_usec,delta_full_vs_map_usec
exec,1,False,,555.851,568.597,535.421,563.18,12.745999999999981,-33.17599999999993,7.328999999999951,27.7589999999999
exec,2,False,,558.5955,578.6205,573.61,569.9775,20.024999999999977,-5.010499999999979,11.381999999999948,-3.63250000000005
exec,3,False,,558.684,563.874,560.89,563.734,5.190000000000055,-2.9840000000000373,5.050000000000068,2.844000000000051
exec,4,False,,549.7515,561.159,567.8185,562.77,11.407500000000027,6.65949999999998,13.018500000000017,-5.04849999999999
exec,5,False,,560.7575,564.022,561.4645,568.2145000000002,3.264499999999998,-2.5575000000000045,7.457000000000107,6.750000000000114
exec,6,False,,558.7685,562.5169999999999,573.1514999999998,571.0195,3.748499999999922,10.634499999999889,12.250999999999976,-2.1319999999998345
exec,7,False,,573.666,571.9015000000002,577.3265000000001,565.134,-1.7644999999998845,5.4249999999999545,-8.532000000000039,-12.19250000000011
exec,8,False,,553.5555,559.0459999999999,551.307,575.022,5.490499999999884,-7.738999999999919,21.466499999999996,23.715000000000032
exec,9,False,,556.997,549.685,571.8955000000001,565.8105,-7.312000000000012,22.21050000000014,8.81350000000009,-6.085000000000036
exec,10,False,,545.7339999999999,558.9685,554.367,564.979,13.234500000000025,-4.601499999999987,19.24500000000012,10.61200000000008
exec,11,False,,548.422,574.224,588.622,577.989,25.80200000000002,14.39799999999991,29.567000000000007,-10.632999999999925
exec,12,False,,558.6610000000002,568.0545,566.5655,563.65,9.39349999999979,-1.488999999999919,4.988999999999805,-2.9155000000000655
exec,13,False,,564.532,573.007,573.707,571.5085,8.474999999999909,0.7000000000000455,6.976499999999987,-2.1984999999999673
exec,14,False,,565.9725,571.575,572.5275,571.9225,5.602500000000077,0.9524999999999864,5.9500000000000455,-0.6050000000000182
exec,15,False,,546.6715,570.5055,585.0185,571.6855,23.833999999999946,14.513000000000034,25.01400000000001,-13.33299999999997
exec,16,False,,551.3285,578.0095,577.6645,571.2625,26.68100000000004,-0.3450000000000273,19.934000000000083,-6.40199999999993
exec,17,False,,571.049,575.0090000000001,573.9164999999999,571.5315,3.96000000000015,-1.0925000000002,0.48250000000007276,-2.384999999999877
exec,18,False,,569.4110000000002,567.884,578.1559999999998,562.8789999999999,-1.5270000000001573,10.27199999999982,-6.5320000000002665,-15.27699999999993
exec,19,False,,568.8565,587.6775000000001,592.8715,582.368,18.82100000000014,5.193999999999846,13.51150000000007,-10.503499999999917
exec,20,False,,566.2335,579.5865,566.5815,595.766,13.352999999999952,-13.004999999999995,29.532499999999914,29.184499999999957
exec,21,False,,570.4505,565.5005,568.9015,621.8035,-4.9500000000000455,3.4010000000000673,51.35299999999995,52.90199999999993
exec,22,False,,580.877,583.3575,565.7145,575.0665,2.4805000000000064,-17.642999999999915,-5.810499999999934,9.351999999999975
exec,23,False,,560.88,578.1725,568.1865,562.5370000000001,17.292500000000018,-9.98599999999999,1.6570000000001528,-5.649499999999875
exec,24,False,,550.9835000000002,565.5615,567.3170000000001,580.361,14.57799999999986,1.7555000000000973,29.377499999999827,13.043999999999869
exec,25,False,,579.7654999999999,562.996,575.006,569.9204999999998,-16.76949999999988,12.009999999999991,-9.845000000000027,-5.085500000000138
exec,26,False,,560.182,566.9965,558.8385,573.3635,6.814499999999953,-8.158000000000015,13.181500000000028,14.525000000000091
exec,27,False,,558.2659999999998,567.638,570.4435,559.77,9.372000000000185,2.805499999999938,1.5040000000001328,-10.67349999999999
exec,28,False,,558.296,573.8905,570.3020000000001,571.843,15.594499999999925,-3.58849999999984,13.546999999999912,1.5409999999998263
exec,29,False,,561.3395000000002,568.4515,560.6625000000001,567.1695,7.111999999999853,-7.788999999999874,5.8299999999998136,6.5069999999998345
exec,30,False,,552.8845,556.3335,579.5089999999999,564.536,3.4489999999999554,23.175499999999943,11.651499999999942,-14.972999999999956
file,1,False,,2.9195,7.314799999999998,5.9097,7.13175,4.395299999999998,-1.4050999999999982,4.21225,1.2220500000000003
file,2,False,,2.91605,7.4945,7.9791,7.4284,4.57845,0.4845999999999995,4.51235,-0.5507
file,3,False,,2.9476,6.957,7.77015,7.19445,4.009399999999999,0.8131500000000003,4.24685,-0.5757000000000003
file,4,False,,2.86105,7.5985,7.2198,7.721,4.737449999999999,-0.37869999999999937,4.8599499999999995,0.5011999999999999
file,5,False,,2.9365,6.2225,6.5155,7.2723,3.286,0.29300000000000015,4.335800000000001,0.7568000000000001
file,6,False,,2.84515,7.143150000000001,7.3115,7.30835,4.298000000000002,0.16834999999999845,4.4632000000000005,-0.003149999999999764
file,7,False,,2.8097999999999996,7.7742499999999986,5.4003,7.15655,4.964449999999999,-2.373949999999999,4.34675,1.7562500000000005
file,8,False,,2.8049,7.3132,7.5192,7.248650000000001,4.5083,0.20599999999999952,4.443750000000001,-0.2705499999999983
file,9,False,,2.9205,6.5278,6.60525,5.427500000000001,3.6073,0.0774499999999998,2.507000000000001,-1.1777499999999987
file,10,False,,2.9869,7.17295,7.095,7.870650000000001,4.18605,-0.07795000000000041,4.883750000000001,0.7756500000000015
file,11,False,,2.8809,7.91555,6.47695,6.69215,5.034649999999999,-1.4385999999999992,3.81125,0.2151999999999994
file,12,False,,2.8453999999999997,7.03635,6.813649999999998,6.7118,4.19095,-0.22270000000000145,3.8664000000000005,-0.101849999999998
file,13,False,,3.044,6.351800000000001,7.15825,7.02945,3.3078000000000007,0.806449999999999,3.9854499999999997,-0.12880000000000003
file,14,False,,2.87865,6.85645,7.193,7.54465,3.9778,0.3365499999999999,4.666,0.35165000000000024
file,15,False,,2.8727,7.74155,6.528149999999999,7.9868,4.86885,-1.213400000000001,5.1141,1.4586500000000004
file,16,False,,3.0683000000000002,6.547550000000001,7.17595,6.3161,3.479250000000001,0.6283999999999992,3.2477999999999994,-0.8598500000000007
file,17,False,,2.9353999999999996,7.17995,6.72515,6.576,4.24455,-0.45479999999999965,3.6406,-0.14915000000000056
file,18,False,,2.8953499999999996,6.04975,6.542249999999999,7.48135,3.1544000000000008,0.4924999999999988,4.586,0.9391000000000007
file,19,False,,2.8411,6.4068,7.7911,6.82475,3.5656999999999996,1.3843000000000005,3.98365,-0.9663500000000003
file,20,False,,2.7153,7.516,7.350799999999999,6.443499999999999,4.8007,-0.16520000000000135,3.7281999999999993,-0.9072999999999993
file,21,False,,2.84935,6.2052,6.4277,7.25585,3.3558499999999998,0.22250000000000014,4.406499999999999,0.8281499999999999
file,22,False,,2.85675,7.4152,6.7491,6.505549999999999,4.55845,-0.6660999999999992,3.6487999999999987,-0.2435500000000017
file,23,False,,2.9026500000000004,6.0437,7.15415,6.6412,3.14105,1.1104499999999993,3.73855,-0.5129499999999991
file,24,False,,2.87445,6.557400000000001,7.04065,6.5933,3.6829500000000013,0.48324999999999907,3.71885,-0.44735000000000014
file,25,False,,2.8636999999999997,5.7482500000000005,7.664399999999999,6.279,2.884550000000001,1.9161499999999982,3.4153000000000002,-1.3853999999999989
file,26,False,,2.8515,6.98535,6.174,7.345,4.133850000000001,-0.81135,4.493499999999999,1.1709999999999994
file,27,False,,3.0752500000000005,6.47805,7.112099999999999,6.65775,3.402799999999999,0.6340499999999993,3.5824999999999996,-0.4543499999999989
file,28,False,,2.9349,5.8275999999999994,6.4428,6.5999,2.8926999999999996,0.6152000000000006,3.665,0.1570999999999998
